delivItemId:ID(DeliveryItem),deliveryDocument,deliveryDocumentItem,actualDeliveryQuantity,quantityUnit,plant,storageLocation,referenceSdDocument,referenceSdDocumentItem,batch
80738076:000010,80738076,000010,1,PC,WB05,5031,740556,000010,
80738076:000020,80738076,000020,1,PC,WB05,5031,740556,000020,ABCD
80738076:000030,80738076,000030,1,PC,WB05,5031,740556,000030,ABCD
80738076:000040,80738076,000040,1,PC,WB05,5031,740556,000040,ABCD
80738076:000050,80738076,000050,1,PC,WB05,5031,740556,000050,ABCD
80738077:000010,80738077,000010,1,PC,WB05,5031,740557,000010,
80738077:000020,80738077,000020,1,PC,WB05,5031,740557,000020,ABCD
80738077:000030,80738077,000030,1,PC,WB05,5031,740557,000030,ABCD
80738077:000040,80738077,000040,1,PC,WB05,5031,740557,000040,ABCD
80738077:000050,80738077,000050,1,PC,WB05,5031,740557,000050,ABCD
80738078:000010,80738078,000010,1,PC,WB05,5031,740558,000010,ABCD
80738079:000010,80738079,000010,1,PC,WB05,5031,740559,000010,ABCD
80738080:000010,80738080,000010,1,PC,WB05,5031,740560,000010,ABCD
80738081:000010,80738081,000010,1,PC,WB05,5031,740561,000010,ABCD
80738082:000010,80738082,000010,1,PC,WB05,5031,740562,000010,ABCD
80738082:000020,80738082,000020,1,PC,WB05,5031,740562,000020,ABCD
80738083:000010,80738083,000010,2,PC,WB05,5031,740563,000010,ABCD
80738084:000010,80738084,000010,1,PC,WB05,5031,740564,000010,
80738084:000020,80738084,000020,1,PC,WB05,5031,740564,000020,ABCD
80738084:000030,80738084,000030,1,PC,WB05,5031,740564,000030,ABCD
80738084:000040,80738084,000040,1,PC,WB05,5031,740564,000040,ABCD
80738084:000050,80738084,000050,1,PC,WB05,5031,740564,000050,ABCD
80738084:000060,80738084,000060,1,PC,WB05,5031,740564,000060,ABCD
80738085:000010,80738085,000010,1,PC,WB05,5031,740565,000010,ABCD
80738086:000010,80738086,000010,1,PC,WB05,5031,740566,000010,ABCD
80738087:000010,80738087,000010,1,PC,WB05,5031,740567,000010,ABCD
80738088:000010,80738088,000010,1,PC,WB05,5031,740568,000010,ABCD
80738089:000010,80738089,000010,1,PC,WB05,5031,740569,000010,ABCD
80738090:000010,80738090,000010,1,PC,WB05,5031,740570,000010,ABCD
80738091:000010,80738091,000010,1,PC,WB05,5031,740571,000010,ABCD
80738092:000010,80738092,000010,1,PC,WB05,5031,740572,000010,ABCD
80738093:000010,80738093,000010,1,PC,WB05,5031,740573,000010,ABCD
80738093:000020,80738093,000020,1,PC,WB05,5031,740573,000020,ABCD
80738094:000010,80738094,000010,1,PC,WB05,5031,740574,000010,
80738094:000020,80738094,000020,2,PC,WB05,5031,740574,000020,ABCD
80738095:000010,80738095,000010,1,PC,WB05,5031,740575,000010,ABCD
80738096:000010,80738096,000010,1,PC,WB05,5031,740576,000010,ABCD
80738097:000010,80738097,000010,1,PC,WB05,5031,740577,000010,ABCD
80738098:000010,80738098,000010,1,PC,WB05,5031,740578,000010,ABCD
80738099:000010,80738099,000010,1,PC,WB05,5031,740579,000010,ABCD
80738100:000010,80738100,000010,1,PC,WB05,5031,740580,000010,ABCD
80738101:000010,80738101,000010,1,PC,WB05,5031,740581,000010,ABCD
80738102:000010,80738102,000010,1,PC,WB05,5031,740582,000010,ABCD
80738103:000010,80738103,000010,1,PC,WB05,5031,740583,000010,ABCD
80738104:000010,80738104,000010,1,PC,WB05,5031,740586,000010,ABCD
80738105:000010,80738105,000010,1,PC,WB05,5031,740587,000010,ABCD
80738106:000010,80738106,000010,1,PC,WB05,5031,740590,000010,ABCD
80738107:000010,80738107,000010,1,PC,WB05,5031,740592,000010,ABCD
80738108:000010,80738108,000010,1,PC,WB05,5031,740595,000010,ABCD
80738109:000010,80738109,000010,1,PC,WB05,5031,740598,000010,
80738109:000020,80738109,000020,1,PC,WB05,5031,740598,000020,ABCD
80738109:000030,80738109,000030,1,PC,WB05,5031,740598,000030,ABCD
80738109:000040,80738109,000040,1,PC,WB05,5031,740598,000040,ABCD
80738110:000010,80738110,000010,1,PC,WB05,5031,740601,000010,ABCD
80738111:000010,80738111,000010,1,PC,WB05,5031,740604,000010,
80738111:000020,80738111,000020,1,PC,WB05,5031,740604,000020,ABCD
80738111:000030,80738111,000030,1,PC,WB05,5031,740604,000030,ABCD
80738111:000040,80738111,000040,1,PC,WB05,5031,740604,000040,ABCD
80737721:000010,80737721,000010,48,PC,1920,V2S2,740506,000010,
80737721:000020,80737721,000020,10,PC,1920,V2S2,740506,000020,
80737721:000030,80737721,000030,8,PC,1920,V2S2,740506,000030,
80737721:000040,80737721,000040,4,PC,1920,V2S2,740506,000040,
