:START_ID(Customer),:END_ID(Invoice),billingDate,amount
320000083,90504248,2025-04-02,216.1
320000082,90628265,2025-04-30,245.9
320000082,90628266,2025-04-30,287.9
320000083,90504274,2025-04-02,253.39
320000083,90504242,2025-04-02,151.69
320000083,90504239,2025-04-02,253.39
320000083,90504230,2025-04-02,253.39
320000083,90504225,2025-04-02,253.39
320000083,90504219,2025-04-02,253.39
320000083,90504267,2025-04-02,337.29
320000083,90504237,2025-04-02,168.64
320000082,90678703,2025-05-16,589.95
320000082,90678702,2025-05-16,299
320000082,90678701,2025-05-16,254
320000082,90678700,2025-05-16,245.9
320000082,90678699,2025-05-16,179
320000082,90678698,2025-05-16,382.9
320000082,90678696,2025-05-16,167
320000083,90504300,2025-04-02,464.41
320000083,90504298,2025-04-02,533.05
320000083,90504297,2025-04-02,215.25
320000083,90504295,2025-04-02,464.41
320000083,90504293,2025-04-02,464.41
320000083,90504292,2025-04-02,422.03
320000083,90504290,2025-04-02,216.1
320000083,90504289,2025-04-02,216.1
320000083,90504288,2025-04-02,205.93
320000083,90504286,2025-04-02,464.41
320000083,90504285,2025-04-02,464.41
320000083,90504284,2025-04-02,464.41
320000083,90504283,2025-04-02,464.41
320000083,90504280,2025-04-02,215.25
320000083,90504276,2025-04-02,215.25
320000083,90504273,2025-04-02,422.03
320000083,90504272,2025-04-02,422.03
320000083,90504270,2025-04-02,455.93
320000083,90504269,2025-04-02,191.53
320000083,90504246,2025-04-02,221.19
320000083,90504245,2025-04-02,329.66
320000083,90504238,2025-04-02,287.29
320000083,90504234,2025-04-02,215.25
320000083,90504232,2025-04-02,179.66
320000083,90504231,2025-04-02,216.1
320000083,90504227,2025-04-02,185.59
320000083,90504226,2025-04-02,215.25
320000083,90504223,2025-04-02,363.56
320000083,90504222,2025-04-02,329.66
320000083,90504221,2025-04-02,363.56
320000083,90504218,2025-04-02,329.66
320000083,90504217,2025-04-02,363.56
320000083,90504215,2025-04-02,363.56
320000083,90504212,2025-04-02,363.56
320000083,90504211,2025-04-02,363.56
320000083,90504210,2025-04-02,363.56
320000083,90504208,2025-04-02,249.15
320000083,90504207,2025-04-02,250
320000083,90504206,2025-04-02,221.19
320000083,90504204,2025-04-02,229.66
320000083,90504301,2025-04-02,1091.53
320000083,90504296,2025-04-02,634.75
320000083,90504281,2025-04-02,473.73
320000083,90504279,2025-04-02,327.97
320000083,90504277,2025-04-02,842.93
320000083,90504249,2025-04-02,561.14
320000083,90504243,2025-04-02,2033.65
320000083,90504241,2025-04-02,180.34
320000083,90504228,2025-04-02,449.24
320000082,91150083,2025-05-16,589.95
320000082,91150084,2025-05-16,299
320000082,91150085,2025-05-16,254
320000082,91150086,2025-05-16,245.9
320000082,91150087,2025-05-16,179
320000082,91150088,2025-05-16,382.9
320000082,91150090,2025-05-16,167
320000083,91150147,2025-04-02,1091.53
320000083,91150148,2025-04-02,464.41
320000083,91150149,2025-04-02,533.05
320000083,91150150,2025-04-02,215.25
320000083,91150151,2025-04-02,634.75
320000083,91150152,2025-04-02,464.41
320000083,91150153,2025-04-02,464.41
320000083,91150154,2025-04-02,422.03
320000083,91150155,2025-04-02,216.1
320000083,91150156,2025-04-02,216.1
320000083,91150157,2025-04-02,205.93
320000083,91150158,2025-04-02,464.41
320000083,91150159,2025-04-02,464.41
320000083,91150160,2025-04-02,464.41
320000083,91150161,2025-04-02,464.41
320000083,91150162,2025-04-02,473.73
320000083,91150163,2025-04-02,215.25
320000083,91150164,2025-04-02,327.97
320000083,91150165,2025-04-02,842.93
320000083,91150166,2025-04-02,215.25
320000083,91150167,2025-04-02,253.39
320000083,91150168,2025-04-02,422.03
320000083,91150169,2025-04-02,422.03
320000083,91150170,2025-04-02,455.93
320000083,91150171,2025-04-02,191.53
320000083,91150172,2025-04-02,337.29
320000083,90504259,2025-04-02,253.39
320000083,90504250,2025-04-02,422.88
320000088,90504406,2025-04-02,179.66
320000085,90504376,2025-04-02,221.19
320000083,90504266,2025-04-02,422.03
320000083,90504265,2025-04-02,761.86
320000083,90504263,2025-04-02,481.44
320000083,90504260,2025-04-02,422.03
320000083,90504257,2025-04-02,375.42
320000083,90504256,2025-04-02,179.66
320000083,90504255,2025-04-02,439.83
320000083,90504253,2025-04-02,439.83
320000083,90504252,2025-04-02,429.66
320000083,90504214,2025-04-02,272.88
320000083,90504262,2025-04-02,843.73
320000083,90504235,2025-04-02,310.76
320000088,91150106,2025-04-02,179.66
320000085,91150114,2025-04-02,221.19
320000083,91150173,2025-04-02,422.03
320000083,91150174,2025-04-02,761.86
320000083,91150175,2025-04-02,481.44
320000083,91150176,2025-04-02,843.73
320000083,91150177,2025-04-02,422.03
320000083,91150178,2025-04-02,253.39
320000083,91150179,2025-04-02,375.42
320000083,91150180,2025-04-02,179.66
320000083,91150181,2025-04-02,439.83
320000083,91150182,2025-04-02,439.83
320000083,91150183,2025-04-02,429.66
320000083,91150184,2025-04-02,422.88
320000083,91150185,2025-04-02,561.14
320000083,91150186,2025-04-02,221.19
320000083,91150187,2025-04-02,329.66
320000083,91150188,2025-04-02,2033.65
320000083,91150189,2025-04-02,151.69
320000083,91150190,2025-04-02,180.34
320000083,91150191,2025-04-02,253.39
320000083,91150192,2025-04-02,287.29
320000083,91150193,2025-04-02,168.64
320000083,91150194,2025-04-02,310.76
320000083,91150195,2025-04-02,215.25
320000083,91150196,2025-04-02,179.66
320000083,91150197,2025-04-02,216.1
320000083,91150198,2025-04-02,253.39
320000083,91150199,2025-04-02,449.24
320000083,91150200,2025-04-02,185.59
320000083,91150201,2025-04-02,215.25
320000083,91150202,2025-04-02,253.39
320000083,91150203,2025-04-02,363.56
320000083,91150204,2025-04-02,329.66
320000083,91150205,2025-04-02,363.56
320000083,91150206,2025-04-02,253.39
320000083,91150207,2025-04-02,329.66
320000083,91150208,2025-04-02,363.56
320000083,91150209,2025-04-02,363.56
320000083,91150210,2025-04-02,272.88
320000083,91150211,2025-04-02,363.56
320000083,91150212,2025-04-02,363.56
320000083,91150213,2025-04-02,363.56
320000083,91150214,2025-04-02,249.15
320000083,91150215,2025-04-02,250
320000083,91150216,2025-04-02,221.19
320000083,91150217,2025-04-02,229.66
320000083,90504274,2025-04-02,253.39
320000083,90504242,2025-04-02,151.69
320000083,90504239,2025-04-02,253.39
320000083,90504230,2025-04-02,253.39
320000083,90504225,2025-04-02,253.39
320000083,90504219,2025-04-02,253.39
320000083,90504267,2025-04-02,337.29
320000083,90504237,2025-04-02,168.64
320000082,90678703,2025-05-16,589.95
320000082,90678702,2025-05-16,299
320000082,90678701,2025-05-16,254
320000082,90678700,2025-05-16,245.9
320000082,90678699,2025-05-16,179
320000082,90678698,2025-05-16,382.9
320000082,90678696,2025-05-16,167
320000083,90504300,2025-04-02,464.41
320000083,90504298,2025-04-02,533.05
320000083,90504297,2025-04-02,215.25
320000083,90504295,2025-04-02,464.41
320000083,90504293,2025-04-02,464.41
320000083,90504292,2025-04-02,422.03
320000083,90504290,2025-04-02,216.1
320000083,90504289,2025-04-02,216.1
320000083,90504288,2025-04-02,205.93
320000083,90504286,2025-04-02,464.41
320000083,90504285,2025-04-02,464.41
320000083,90504284,2025-04-02,464.41
320000083,90504283,2025-04-02,464.41
320000083,90504280,2025-04-02,215.25
320000083,90504276,2025-04-02,215.25
320000083,90504273,2025-04-02,422.03
320000083,90504272,2025-04-02,422.03
320000083,90504270,2025-04-02,455.93
320000083,90504269,2025-04-02,191.53
320000083,90504246,2025-04-02,221.19
320000083,90504245,2025-04-02,329.66
320000083,90504238,2025-04-02,287.29
320000083,90504234,2025-04-02,215.25
320000083,90504232,2025-04-02,179.66
320000083,90504231,2025-04-02,216.1
320000083,90504227,2025-04-02,185.59
320000083,90504226,2025-04-02,215.25
320000083,90504223,2025-04-02,363.56
320000083,90504222,2025-04-02,329.66
320000083,90504221,2025-04-02,363.56
320000083,90504218,2025-04-02,329.66
320000083,90504217,2025-04-02,363.56
320000083,90504215,2025-04-02,363.56
320000083,90504212,2025-04-02,363.56
320000083,90504211,2025-04-02,363.56
320000083,90504210,2025-04-02,363.56
320000083,90504208,2025-04-02,249.15
320000083,90504207,2025-04-02,250
320000083,90504206,2025-04-02,221.19
320000083,90504204,2025-04-02,229.66
320000083,90504301,2025-04-02,1091.53
320000083,90504296,2025-04-02,634.75
320000083,90504281,2025-04-02,473.73
320000083,90504279,2025-04-02,327.97
320000083,90504277,2025-04-02,842.93
320000083,90504249,2025-04-02,561.14
320000083,90504243,2025-04-02,2033.65
320000083,90504241,2025-04-02,180.34
320000083,90504228,2025-04-02,449.24
320000083,90504259,2025-04-02,253.39
320000083,90504250,2025-04-02,422.88
320000088,90504406,2025-04-02,179.66
320000085,90504376,2025-04-02,221.19
320000083,90504266,2025-04-02,422.03
320000083,90504265,2025-04-02,761.86
320000083,90504263,2025-04-02,481.44
320000083,90504260,2025-04-02,422.03
320000083,90504257,2025-04-02,375.42
320000083,90504256,2025-04-02,179.66
320000083,90504255,2025-04-02,439.83
320000083,90504253,2025-04-02,439.83
320000083,90504252,2025-04-02,429.66
320000083,90504214,2025-04-02,272.88
320000083,90504262,2025-04-02,843.73
320000083,90504235,2025-04-02,310.76
