:START_ID(Customer),:END_ID(Payment),postingDate,amount
320000083,ABCD:2025:9400000220:1,2025-04-02,897.03
320000083,ABCD:2025:9400000226:1,2025-04-02,897
320000083,ABCD:2025:9400000231:1,2025-04-02,897.03
320000083,ABCD:2025:9400000238:1,2025-04-02,597
320000083,ABCD:2025:9400000239:1,2025-04-02,1017.03
320000083,ABCD:2025:9400000240:1,2025-04-02,897.03
320000083,ABCD:2025:9400000243:1,2025-04-02,536.97
320000083,ABCD:2025:9400000246:1,2025-04-02,1167
320000083,ABCD:2025:9400000247:1,2025-04-02,783.03
320000083,ABCD:2025:9400000268:1,2025-04-02,1194.03
320000083,ABCD:2025:9400000270:1,2025-04-02,678.03
320000083,ABCD:2025:9400000271:1,2025-04-02,1614
320000083,ABCD:2025:9400000272:1,2025-04-02,1494
320000083,ABCD:2025:9400000274:1,2025-04-02,1493.97
320000083,ABCD:2025:9400000275:1,2025-04-02,897.03
320000083,ABCD:2025:9400000277:1,2025-04-02,761.97
320000083,ABCD:2025:9400000281:1,2025-04-02,761.97
320000083,ABCD:2025:9400000284:1,2025-04-02,1644.03
320000083,ABCD:2025:9400000285:1,2025-04-02,1644.03
320000083,ABCD:2025:9400000286:1,2025-04-02,1644.03
320000083,ABCD:2025:9400000287:1,2025-04-02,1644.03
320000083,ABCD:2025:9400000289:1,2025-04-02,729
320000083,ABCD:2025:9400000290:1,2025-04-02,765
320000083,ABCD:2025:9400000291:1,2025-04-02,765
320000083,ABCD:2025:9400000293:1,2025-04-02,1494
320000083,ABCD:2025:9400000294:1,2025-04-02,1644.03
320000083,ABCD:2025:9400000296:1,2025-04-02,1644.03
320000083,ABCD:2025:9400000298:1,2025-04-02,761.97
320000083,ABCD:2025:9400000299:1,2025-04-02,1886.97
320000083,ABCD:2025:9400000301:1,2025-04-02,1644.03
320000082,ABCD:2025:9400172473:1,2025-05-16,591.18
320000082,ABCD:2025:9400172475:1,2025-05-16,1355.46
320000082,ABCD:2025:9400172476:1,2025-05-16,633.66
320000082,ABCD:2025:9400172477:1,2025-05-16,870.48
320000082,ABCD:2025:9400172478:1,2025-05-16,899.16
320000082,ABCD:2025:9400172479:1,2025-05-16,1058.46
320000082,ABCD:2025:9400172480:1,2025-05-16,2088.42
320000083,ABCD:2025:9400635986:1,2025-04-02,-885
320000083,ABCD:2025:9400635987:1,2025-04-02,-783.03
320000083,ABCD:2025:9400635988:1,2025-04-02,-813
320000083,ABCD:2025:9400000205:1,2025-04-02,813
320000083,ABCD:2025:9400000206:1,2025-04-02,783.03
320000083,ABCD:2025:9400000208:1,2025-04-02,885
320000083,ABCD:2025:9400000209:1,2025-04-02,882
320000083,ABCD:2025:9400000211:1,2025-04-02,1287
320000083,ABCD:2025:9400000212:1,2025-04-02,1287
320000083,ABCD:2025:9400000213:1,2025-04-02,1287
320000083,ABCD:2025:9400000216:1,2025-04-02,1287
320000083,ABCD:2025:9400000218:1,2025-04-02,1287
320000083,ABCD:2025:9400000219:1,2025-04-02,1167
320000083,ABCD:2025:9400000222:1,2025-04-02,1287
320000083,ABCD:2025:9400000223:1,2025-04-02,1167
320000083,ABCD:2025:9400000224:1,2025-04-02,1287
320000083,ABCD:2025:9400000227:1,2025-04-02,761.97
320000083,ABCD:2025:9400000228:1,2025-04-02,657
320000083,ABCD:2025:9400000229:1,2025-04-02,1590.3
320000083,ABCD:2025:9400000232:1,2025-04-02,765
320000083,ABCD:2025:9400000233:1,2025-04-02,636
320000083,ABCD:2025:9400000235:1,2025-04-02,761.97
320000083,ABCD:2025:9400000241:1,2025-04-02,638.4
320000083,ABCD:2025:9400000244:1,2025-04-02,7199.1
