:START_ID(Delivery),:END_ID(Invoice)
80738109,90504298
80754606,90678703
80754601,90678698
80738111,90504301
80754605,90678702
80754576,90628266
80754575,90628265
80754603,90678700
80754602,90678699
80754574,90678696
80738094,90504279
80754606,91150083
80754605,91150084
80754604,91150085
80754603,91150086
80754602,91150087
80754601,91150088
80754574,91150090
80738111,91150147
80738110,91150148
80738109,91150149
80738108,91150150
80738107,91150151
80738106,91150152
80738105,91150153
80738104,91150154
80738103,91150155
80738102,91150156
80738101,91150157
80738100,91150158
80738099,91150159
80738098,91150160
80738097,91150161
80738096,91150162
80738095,91150163
80738094,91150164
80738093,91150165
80738092,91150166
80738091,91150167
80738090,91150168
80738089,91150169
80738088,91150170
80738087,91150171
80738086,91150172
80738072,90504248
80738086,90504267
80738087,90504269
80738088,90504270
80738089,90504272
80738090,90504273
80738091,90504274
80738092,90504276
80738093,90504277
80738095,90504280
80738096,90504281
80738097,90504283
80738098,90504284
80738099,90504285
80738100,90504286
80738101,90504288
80738102,90504289
80738103,90504290
80738104,90504292
80738105,90504293
80738106,90504295
80738107,90504296
80738108,90504297
80738110,90504300
80754604,90678701
80738040,90504204
80738041,90504206
80738042,90504207
80738043,90504208
80738044,90504210
80738045,90504211
80738046,90504212
80738048,90504215
80738049,90504217
80738050,90504218
80738051,90504219
80738052,90504221
80738053,90504222
80738054,90504223
80738055,90504225
80738056,90504226
80738057,90504227
80738058,90504228
80738059,90504230
80738060,90504231
80738061,90504232
80738062,90504234
80738064,90504237
80738065,90504238
80738066,90504239
80738067,90504241
80738068,90504242
80738069,90504243
80738070,90504245
80738071,90504246
80738073,90504249
80738074,90504250
80738075,90504252
80738076,90504253
80738077,90504255
80738078,90504256
80738079,90504257
80738080,90504259
80738081,90504260
80738082,90504262
80738084,90504265
80738085,90504266
80737922,90504376
80737921,90504406
80738047,90504214
80738083,90504263
80738063,90504235
80738084,91150174
80738069,91150188
80737921,91150106
80737922,91150114
80738085,91150173
80738083,91150175
80738082,91150176
80738081,91150177
80738080,91150178
80738079,91150179
80738078,91150180
80738077,91150181
80738076,91150182
80738075,91150183
80738074,91150184
80738073,91150185
80738071,91150186
80738070,91150187
80738068,91150189
80738067,91150190
80738066,91150191
80738065,91150192
80738064,91150193
80738063,91150194
80738062,91150195
80738061,91150196
80738060,91150197
80738059,91150198
80738058,91150199
80738057,91150200
80738056,91150201
80738055,91150202
80738054,91150203
80738053,91150204
80738052,91150205
80738051,91150206
80738050,91150207
80738049,91150208
80738048,91150209
80738047,91150210
80738046,91150211
80738045,91150212
80738044,91150213
80738043,91150214
80738042,91150215
80738041,91150216
80738040,91150217
