:START_ID(SalesOrderItem),:END_ID(Product),quantity,unit
740506:10,S8907367001003,48,PC
740506:20,S8907367000327,10,PC
740506:30,S8907367020073,8,PC
740506:40,S8907367025344,4,PC
740506:50,S8907367035664,11,PC
740507:10,S8907367001003,24,PC
740507:20,S8907367000327,15,PC
740507:30,S8907367025344,34,PC
740507:40,S8907367035664,17,PC
740508:10,S8907367001003,1,PC
740508:20,S8907367000327,1,PC
740508:30,S8907367025344,1,PC
740508:40,S8907367035664,1,PC
740509:10,S8907367013532,1,PC
740510:10,S8907367038122,1,PC
740511:10,S8907367001003,1,PC
740512:10,S8907367002512,1,PC
740513:10,S8907367039280,1,PC
740514:10,S8907367039280,1,PC
740515:10,S8907367039280,1,PC
740516:10,B8907367032571,1,PC
740516:20,S8907367025412,2,PC
740517:10,S8907367039280,1,PC
740518:10,S8907367039280,1,PC
740519:10,S8907367039280,1,PC
740520:10,S8907367008620,1,PC
740521:10,S8907367039280,1,PC
740522:10,S8907367039280,1,PC
740523:10,S8907367039280,1,PC
740524:10,S8907367008620,1,PC
740525:10,S8907367002512,1,PC
740526:10,S8907367025344,1,PC
740527:10,S8907367038108,1,PC
740527:20,S8907367008620,1,PC
740528:10,S8907367008620,1,PC
740529:10,S8907367001003,1,PC
740530:10,S8907367013532,1,PC
740531:10,S8907367004448,1,PC
740532:10,S8907367013587,1,PC
740533:10,B8907367022152,1,PC
740533:20,S8907367011866,2,PC
740534:10,S8907367026433,2,PC
740535:10,S8907367025344,1,PC
740536:10,S8907367028192,1,PC
740537:10,S8907367013532,1,PC
740538:10,S8907367008620,1,PC
740539:10,S8907367004448,1,PC
740540:10,S8907367008620,1,PC
740541:10,S8907367008620,1,PC
740542:10,B8907367032571,1,PC
740542:20,S8907367025412,2,PC
740542:30,S8907367008620,1,PC
740543:10,S8907367013532,1,PC
740544:10,S8907367002512,1,PC
740545:10,S8907367013532,1,PC
740546:10,S8907367038122,1,PC
740547:10,S8907367013532,1,PC
740548:10,S8907367025344,1,PC
740549:10,B8907367002246,1,PC
740549:20,S8907367001836,1,PC
740549:30,S8907367001874,1,PC
740549:40,3001468,1,PC
740549:50,S8907367001850,1,PC
740549:60,S8907367001843,1,PC
740549:70,3001456,1,PC
740549:80,S8907367001867,1,PC
740549:90,S8907367002550,1,PC
740549:100,S8907367038108,1,PC
740549:110,S8907367038122,1,PC
740549:120,S8907367039280,1,PC
740550:10,S8907367039280,1,PC
740551:10,S8907367038122,1,PC
740552:10,S8907367001003,1,PC
740553:10,S8907367010814,1,PC
740553:20,S8907367008620,1,PC
740554:10,S8907367041993,1,PC
740555:10,B8907367015697,1,PC
740555:20,S8907367013532,1,PC
740555:30,S8907367014447,1,PC
740556:10,B8907367037859,1,PC
740556:20,S8907367035978,1,PC
740556:30,S8907367035992,1,PC
740556:40,S8907367035985,1,PC
740556:50,S8907367035961,1,PC
740557:10,B8907367037859,1,PC
740557:20,S8907367035961,1,PC
740557:30,S8907367035978,1,PC
740557:40,S8907367035985,1,PC
740557:50,S8907367035992,1,PC
740558:10,S8907367013532,1,PC
740559:10,S8907367016144,1,PC
740560:10,S8907367008620,1,PC
740561:10,S8907367037156,1,PC
740562:10,S8907367003380,1,PC
740562:20,S8907367020035,1,PC
740563:10,S8907367008620,2,PC
740564:10,B8907367037842,1,PC
740564:20,S8907367010814,1,PC
740564:30,S8907367036722,1,PC
740564:40,S8907367029021,1,PC
740564:50,S8907367016144,1,PC
740564:60,S8907367029038,1,PC
740565:10,S8907367035664,1,PC
740566:10,S8907367010814,1,PC
740567:10,S8907367014867,1,PC
740568:10,S8907367035664,1,PC
740569:10,S8907367035664,1,PC
740570:10,S8907367035664,1,PC
740571:10,S8907367003380,1,PC
740572:10,S8907367003311,1,PC
740573:10,S8907367041993,1,PC
740573:20,S8907367042006,1,PC
740574:10,B8907367032649,1,PC
740574:20,S8907367013082,2,PC
740575:10,S8907367003311,1,PC
740576:10,S8907367039303,1,PC
740577:10,S8907367042006,1,PC
740578:10,S8907367042006,1,PC
740579:10,S8907367042006,1,PC
740580:10,S8907367042006,1,PC
740581:10,S8907367002499,1,PC
740582:10,S8907367001003,1,PC
740583:10,S8907367001003,1,PC
740584:10,S8907367759287,2,PC
740585:10,S8907367003342,1,PC
740586:10,S8907367031635,1,PC
740587:10,S8907367042006,1,PC
740588:10,S8907367020790,1,PC
740589:10,B8907367024125,1,PC
740589:20,S8907367023128,1,PC
740589:30,S8907367023159,1,PC
740589:40,S8907367023135,1,PC
740589:50,S8907367023142,1,PC
740590:10,S8907367042006,1,PC
740591:10,B8907367028406,1,PC
740591:20,S8907367020790,1,PC
740591:30,S8907367010814,1,PC
740592:10,S8907367020035,1,PC
740593:10,S8907367035664,1,PC
740594:10,S8907367010814,1,PC
740595:10,S8907367002512,1,PC
740596:10,S8907367001003,1,PC
740597:10,S8907367020790,1,PC
740598:10,B8907367041603,1,PC
740598:20,S8907367016144,1,PC
740598:30,S8907367029021,1,PC
740598:40,S8907367010814,1,PC
740599:10,B8907367022787,1,PC
740599:20,S8907367020783,1,PC
740599:30,S8907367020790,1,PC
740600:10,S8907367028659,1,PC
740601:10,S8907367042006,1,PC
740602:10,B8907367024125,1,PC
740602:20,S8907367023128,1,PC
740602:30,S8907367023159,1,PC
740602:40,S8907367023142,1,PC
740602:50,S8907367023135,1,PC
740603:10,S8907367013587,1,PC
740604:10,B8907367039570,1,PC
740604:20,S8907367015277,1,PC
740604:30,S8907367020035,1,PC
740604:40,S8907367020042,1,PC
740605:10,B8907367037859,1,PC
740605:20,S8907367035992,1,PC
740605:30,S8907367035978,1,PC
740605:40,S8907367035985,1,PC
740605:50,S8907367035961,1,PC
