:START_ID(SalesOrder),:END_ID(SalesOrderItem),lineNumber
740506,740506:10,10
740506,740506:20,20
740506,740506:30,30
740506,740506:40,40
740506,740506:50,50
740507,740507:10,10
740507,740507:20,20
740507,740507:30,30
740507,740507:40,40
740508,740508:10,10
740508,740508:20,20
740508,740508:30,30
740508,740508:40,40
740509,740509:10,10
740510,740510:10,10
740511,740511:10,10
740512,740512:10,10
740513,740513:10,10
740514,740514:10,10
740515,740515:10,10
740516,740516:10,10
740516,740516:20,20
740517,740517:10,10
740518,740518:10,10
740519,740519:10,10
740520,740520:10,10
740521,740521:10,10
740522,740522:10,10
740523,740523:10,10
740524,740524:10,10
740525,740525:10,10
740526,740526:10,10
740527,740527:10,10
740527,740527:20,20
740528,740528:10,10
740529,740529:10,10
740530,740530:10,10
740531,740531:10,10
740532,740532:10,10
740533,740533:10,10
740533,740533:20,20
740534,740534:10,10
740535,740535:10,10
740536,740536:10,10
740537,740537:10,10
740538,740538:10,10
740539,740539:10,10
740540,740540:10,10
740541,740541:10,10
740542,740542:10,10
740542,740542:20,20
740542,740542:30,30
740543,740543:10,10
740544,740544:10,10
740545,740545:10,10
740546,740546:10,10
740547,740547:10,10
740548,740548:10,10
740549,740549:10,10
740549,740549:20,20
740549,740549:30,30
740549,740549:40,40
740549,740549:50,50
740549,740549:60,60
740549,740549:70,70
740549,740549:80,80
740549,740549:90,90
740549,740549:100,100
740549,740549:110,110
740549,740549:120,120
740550,740550:10,10
740551,740551:10,10
740552,740552:10,10
740553,740553:10,10
740553,740553:20,20
740554,740554:10,10
740555,740555:10,10
740555,740555:20,20
740555,740555:30,30
740556,740556:10,10
740556,740556:20,20
740556,740556:30,30
740556,740556:40,40
740556,740556:50,50
740557,740557:10,10
740557,740557:20,20
740557,740557:30,30
740557,740557:40,40
740557,740557:50,50
740558,740558:10,10
740559,740559:10,10
740560,740560:10,10
740561,740561:10,10
740562,740562:10,10
740562,740562:20,20
740563,740563:10,10
740564,740564:10,10
740564,740564:20,20
740564,740564:30,30
740564,740564:40,40
740564,740564:50,50
740564,740564:60,60
740565,740565:10,10
740566,740566:10,10
740567,740567:10,10
740568,740568:10,10
740569,740569:10,10
740570,740570:10,10
740571,740571:10,10
740572,740572:10,10
740573,740573:10,10
740573,740573:20,20
740574,740574:10,10
740574,740574:20,20
740575,740575:10,10
740576,740576:10,10
740577,740577:10,10
740578,740578:10,10
740579,740579:10,10
740580,740580:10,10
740581,740581:10,10
740582,740582:10,10
740583,740583:10,10
740584,740584:10,10
740585,740585:10,10
740586,740586:10,10
740587,740587:10,10
740588,740588:10,10
740589,740589:10,10
740589,740589:20,20
740589,740589:30,30
740589,740589:40,40
740589,740589:50,50
740590,740590:10,10
740591,740591:10,10
740591,740591:20,20
740591,740591:30,30
740592,740592:10,10
740593,740593:10,10
740594,740594:10,10
740595,740595:10,10
740596,740596:10,10
740597,740597:10,10
740598,740598:10,10
740598,740598:20,20
740598,740598:30,30
740598,740598:40,40
740599,740599:10,10
740599,740599:20,20
740599,740599:30,30
740600,740600:10,10
740601,740601:10,10
740602,740602:10,10
740602,740602:20,20
740602,740602:30,30
740602,740602:40,40
740602,740602:50,50
740603,740603:10,10
740604,740604:10,10
740604,740604:20,20
740604,740604:30,30
740604,740604:40,40
740605,740605:10,10
740605,740605:20,20
740605,740605:30,30
740605,740605:40,40
740605,740605:50,50
